ds,actual,forecast
2023-01-01,5.836913454,
2023-02-01,6.209081299,
2023-03-01,7.99855428,
2023-04-01,9.116010969,
2023-05-01,10.458416604,
2023-06-01,9.875883991,
2023-07-01,10.714891199,
2023-08-01,9.298213469,
2023-09-01,7.929551098999999,
2023-10-01,9.776635604,
2023-11-01,7.905647275,
2023-12-01,7.577387837000001,
2024-01-01,6.95630148,
2024-02-01,7.319926842,
2024-03-01,9.488470293999999,
2024-04-01,10.453542783,
2024-05-01,11.522110247,
2024-06-01,12.369051876,
2024-07-01,12.474595428,
2024-08-01,10.867557352,
2024-09-01,8.964140145,
2024-10-01,11.29069002,
2024-11-01,9.093882221,
2024-12-01,9.165654387,
2025-01-01,,8.102695332018161
2025-02-01,,8.696906305696423
2025-03-01,,10.800000239795649
2025-04-01,,11.976337710933976
2025-05-01,,13.225771110719982
2025-06-01,,14.083444833598307
