date,region,category,channel,sales_rep,quantity,unit_price,revenue,cost,profit,order_id
2022-01-01,East,Beauty,Online,SR011,3,1583.99,4751.96,2138.38,2613.58,ORD999159
2022-01-01,North,Fashion,Mobile App,SR012,5,2852.43,14262.16,8272.05,5990.11,ORD427069
2022-01-01,North,Electronics,Online,SR029,4,18602.93,74411.71,61017.6,13394.11,ORD358795
2022-01-01,East,Electronics,Retail Store,SR015,4,20558.28,82233.12,67431.16,14801.96,ORD165725
2022-01-01,East,Electronics,Retail Store,SR003,4,18499.04,73996.15,60676.84,13319.31,ORD431236
2022-01-01,North,Beauty,Online,SR014,4,2038.79,8155.16,3669.82,4485.34,ORD305041
2022-01-01,North,Fashion,Online,SR007,4,2455.11,9820.46,5695.87,4124.59,ORD672843
2022-01-01,North,Grocery,Marketplace,SR004,4,588.04,2352.14,2069.88,282.26,ORD905889
2022-01-01,North,Grocery,Retail Store,SR026,5,741.57,3707.85,3262.91,444.94,ORD302283
2022-01-01,Central,Home & Kitchen,Retail Store,SR008,4,3886.06,15544.23,11191.85,4352.38,ORD320884
2022-01-01,South,Fashion,Mobile App,SR028,2,2848.94,5697.88,3304.77,2393.11,ORD616588
2022-01-01,West,Electronics,Online,SR012,1,19470.12,19470.12,15965.5,3504.62,ORD233767
2022-01-01,West,Electronics,Mobile App,SR027,3,19566.95,58700.84,48134.69,10566.15,ORD400804
2022-01-01,East,Home & Kitchen,Marketplace,SR002,1,4666.45,4666.45,3359.84,1306.61,ORD938688
2022-01-01,South,Electronics,Online,SR022,3,18493.01,55479.02,45492.8,9986.22,ORD124538
2022-01-01,South,Grocery,Marketplace,SR026,3,700.85,2102.56,1850.25,252.31,ORD723094
2022-01-01,East,Sports,Retail Store,SR013,2,2744.4,5488.8,3842.16,1646.64,ORD353618
2022-01-01,East,Electronics,Online,SR023,4,20200.86,80803.44,66258.82,14544.62,ORD827270
2022-01-01,West,Fashion,Online,SR028,3,2646.09,7938.27,4604.2,3334.07,ORD143585
2022-01-01,South,Beauty,Online,SR012,4,1963.98,7855.93,3535.17,4320.76,ORD125939
2022-01-01,East,Home & Kitchen,Mobile App,SR030,4,4306.0,17224.01,12401.29,4822.72,ORD910208
2022-01-01,East,Fashion,Online,SR007,5,2770.55,13852.74,8034.59,5818.15,ORD551269
